region_type,ags_5,iso,einwohner,stichtag
kreis,09777,,142047,2024-12-31
kreis,09778,,147255,2024-12-31
kreis,09779,,135098,2024-12-31
kreis,09780,,155413,2024-12-31
kreis,10041,,333149,2024-12-31
kreis,10042,,108779,2024-12-31
kreis,10043,,133179,2024-12-31
kreis,10044,,205129,2024-12-31
kreis,10045,,144092,2024-12-31
kreis,10046,,87813,2024-12-31
kreis,11000,,3685265,2024-12-31
kreis,12051,,74113,2024-12-31
kreis,12052,,95123,2024-12-31
kreis,12053,,57107,2024-12-31
kreis,12054,,184754,2024-12-31
kreis,12060,,194169,2024-12-31
kreis,12061,,178793,2024-12-31
kreis,12062,,97967,2024-12-31
kreis,12063,,170834,2024-12-31
kreis,12064,,197817,2024-12-31
kreis,12065,,217690,2024-12-31
kreis,12066,,107793,2024-12-31
kreis,12067,,179817,2024-12-31
kreis,12068,,99152,2024-12-31
kreis,12069,,221268,2024-12-31
kreis,12070,,75595,2024-12-31
kreis,12071,,109635,2024-12-31
kreis,12072,,177688,2024-12-31
kreis,12073,,117432,2024-12-31
kreis,13001,,0,2024-12-31
kreis,13002,,0,2024-12-31
kreis,13003,,205307,2024-12-31
kreis,13004,,98308,2024-12-31
kreis,13005,,0,2024-12-31
kreis,13006,,0,2024-12-31
kreis,13051,,0,2024-12-31
kreis,13052,,0,2024-12-31
kreis,13053,,0,2024-12-31
kreis,13054,,0,2024-12-31
kreis,13055,,0,2024-12-31
kreis,13056,,0,2024-12-31
kreis,13057,,0,2024-12-31
kreis,13058,,0,2024-12-31
kreis,13059,,0,2024-12-31
kreis,13060,,0,2024-12-31
kreis,13061,,0,2024-12-31
kreis,13062,,0,2024-12-31
kreis,13071,,246318,2024-12-31
kreis,13072,,218721,2024-12-31
kreis,13073,,215203,2024-12-31
kreis,13074,,156692,2024-12-31
kreis,13075,,224956,2024-12-31
kreis,13076,,208092,2024-12-31
kreis,14161,,0,2024-12-31
kreis,14166,,0,2024-12-31
kreis,14167,,0,2024-12-31
kreis,14171,,0,2024-12-31
kreis,14173,,0,2024-12-31
kreis,14177,,0,2024-12-31
kreis,14178,,0,2024-12-31
kreis,14181,,0,2024-12-31
kreis,14182,,0,2024-12-31
kreis,14188,,0,2024-12-31
kreis,14191,,0,2024-12-31
kreis,14193,,0,2024-12-31
kreis,14262,,0,2024-12-31
kreis,14263,,0,2024-12-31
kreis,14264,,0,2024-12-31
kreis,14272,,0,2024-12-31
kreis,14280,,0,2024-12-31
kreis,14284,,0,2024-12-31
kreis,14285,,0,2024-12-31
kreis,14286,,0,2024-12-31
kreis,14287,,0,2024-12-31
kreis,14290,,0,2024-12-31
kreis,14292,,0,2024-12-31
kreis,14365,,0,2024-12-31
kreis,14374,,0,2024-12-31
kreis,14375,,0,2024-12-31
kreis,14379,,0,2024-12-31
kreis,14383,,0,2024-12-31
kreis,14389,,0,2024-12-31
kreis,14511,,245618,2024-12-31
kreis,14521,,318394,2024-12-31
kreis,14522,,296431,2024-12-31
kreis,14523,,219100,2024-12-31
kreis,14524,,306793,2024-12-31
kreis,14612,,564904,2024-12-31
kreis,14625,,292608,2024-12-31
kreis,14626,,243958,2024-12-31
kreis,14627,,239221,2024-12-31
kreis,14628,,243996,2024-12-31
kreis,14713,,611850,2024-12-31
kreis,14729,,260127,2024-12-31
kreis,14730,,199422,2024-12-31
kreis,15001,,75402,2024-12-31
kreis,15002,,226767,2024-12-31
kreis,15003,,244329,2024-12-31
kreis,15081,,79980,2024-12-31
kreis,15082,,153035,2024-12-31
kreis,15083,,167924,2024-12-31
kreis,15084,,173684,2024-12-31
kreis,15085,,205484,2024-12-31
kreis,15086,,88509,2024-12-31
kreis,15087,,129029,2024-12-31
kreis,15088,,182451,2024-12-31
kreis,15089,,180771,2024-12-31
kreis,15090,,106538,2024-12-31
kreis,15091,,121694,2024-12-31
kreis,15101,,0,2024-12-31
kreis,15151,,0,2024-12-31
kreis,15153,,0,2024-12-31
kreis,15154,,0,2024-12-31
kreis,15159,,0,2024-12-31
kreis,15171,,0,2024-12-31
kreis,15202,,0,2024-12-31
kreis,15256,,0,2024-12-31
kreis,15260,,0,2024-12-31
kreis,15261,,0,2024-12-31
kreis,15265,,0,2024-12-31
kreis,15266,,0,2024-12-31
kreis,15268,,0,2024-12-31
kreis,15303,,0,2024-12-31
kreis,15352,,0,2024-12-31
kreis,15355,,0,2024-12-31
kreis,15357,,0,2024-12-31
kreis,15358,,0,2024-12-31
kreis,15362,,0,2024-12-31
kreis,15363,,0,2024-12-31
kreis,15364,,0,2024-12-31
kreis,15367,,0,2024-12-31
kreis,15369,,0,2024-12-31
kreis,15370,,0,2024-12-31
kreis,16051,,218793,2024-12-31
kreis,16052,,95608,2024-12-31
kreis,16053,,109725,2024-12-31
kreis,16054,,34685,2024-12-31
kreis,16055,,65954,2024-12-31
kreis,16056,,0,2024-12-31
kreis,16061,,103694,2024-12-31
kreis,16062,,80762,2024-12-31
kreis,16063,,154957,2024-12-31
kreis,16064,,94613,2024-12-31
kreis,16065,,71738,2024-12-31
kreis,16066,,120214,2024-12-31
kreis,16067,,135838,2024-12-31
kreis,16068,,67693,2024-12-31
kreis,16069,,59987,2024-12-31
kreis,16070,,106657,2024-12-31
kreis,16071,,82392,2024-12-31
kreis,16072,,54964,2024-12-31
kreis,16073,,100105,2024-12-31
kreis,16074,,83342,2024-12-31
kreis,16075,,77341,2024-12-31
kreis,16076,,93707,2024-12-31
kreis,16077,,87508,2024-12-31
bundesland,,DE-BB,2556747,2024-12-31
bundesland,,DE-BE,3685265,2024-12-31
bundesland,,DE-BW,11245898,2024-12-31
bundesland,,DE-BY,13248928,2024-12-31
bundesland,,DE-HB,704881,2024-12-31
bundesland,,DE-HE,6280793,2024-12-31
bundesland,,DE-HH,1862565,2024-12-31
bundesland,,DE-MV,1573597,2024-12-31
bundesland,,DE-NI,8004489,2024-12-31
bundesland,,DE-NW,18034454,2024-12-31
bundesland,,DE-RP,4129569,2024-12-31
bundesland,,DE-SH,2959517,2024-12-31
bundesland,,DE-SL,1012141,2024-12-31
bundesland,,DE-SN,4042422,2024-12-31
bundesland,,DE-ST,2135597,2024-12-31
bundesland,,DE-TH,2100277,2024-12-31
